time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/clip_fraction,train/std,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl
1024,1002.0,-141132.446207,10,100,1,,,,,,,,,,,
2048,1001.5,-149385.7179005,19,103,2,2800899.75,-0.004226743004983291,10,-7.09634638428688,0.0003,0.0078125,1.0007423162460327,4.076957702636719e-05,0.2,5637569.225,0.005128595
3072,1001.3333333333334,-148289.43759266668,29,102,3,3600459.75,-0.004830408719135449,20,-7.100544863939286,0.0003,0.0154296875,1.0015336275100708,-0.00020456314086914062,0.2,6862094.6875,0.0061648833
4096,1001.25,-131778.07956,39,102,4,2997962.25,-0.0009967690712073818,30,-7.102419978380203,0.0003,0.0,1.0015685558319092,-4.2319297790527344e-05,0.2,6006221.49375,0.0013242069
5120,1001.2,-125619.36968220002,49,103,5,1024859.75,-0.003997116646496579,40,-7.102214115858078,0.0003,0.02236328125,1.0012321472167969,-5.626678466796875e-05,0.2,1976057.140625,0.0061535463
6144,1001.1666666666666,-135853.30360433334,60,101,6,1303179.75,-0.0040482712793163955,50,-7.098815768957138,0.0003,0.02421875,1.0002176761627197,1.7285346984863281e-06,0.2,2712029.275,0.0058458336
7168,1001.1428571428571,-140494.08339171432,71,100,7,6442574.0,-0.0013451562786940484,60,-7.095877379179001,0.0003,0.0,1.000379204750061,-0.0003578662872314453,0.2,11453889.3875,0.00071048056
8192,1001.125,-138687.64077149998,81,100,8,4684366.5,-0.0036707966006360947,70,-7.094541466236114,0.0003,0.0033203125,0.9993857145309448,-0.0007926225662231445,0.2,9501832.2625,0.0033488318
9216,1001.1111111111111,-140781.06308966666,92,100,9,2867179.25,-0.004069816583069041,80,-7.093711543083191,0.0003,0.011328125,1.0003783702850342,-2.1457672119140625e-06,0.2,5780589.475,0.0053375354
10240,1001.1,-140502.161826,102,99,10,4197407.5,-0.002874758932739496,90,-7.096296620368958,0.0003,0.002734375,1.0002886056900024,-3.314018249511719e-05,0.2,7220675.16875,0.0035178014
11264,1001.0909090909091,-147979.80320427273,113,98,11,2417463.25,-0.005190499659511261,100,-7.098245853185654,0.0003,0.01220703125,1.0010887384414673,3.0994415283203125e-06,0.2,5206330.8625,0.0049802354
12288,1001.0833333333334,-145531.10031491666,124,98,12,7655440.5,-0.002241318119922653,110,-7.10030357837677,0.0003,0.00029296875,1.0011837482452393,-1.3470649719238281e-05,0.2,16075975.675,0.0017119112
